id_autor,autor_genero,nombre_autor,autor_rating_promedio,cantidad_rating_autor,cantidad_comentarios,id_pais
4958172,Masculino,Gosho Aoyama,4.27,99833,2637,119
376347,Masculino,Peach-Pit,4.19,65143,861,119
36351,Masculino,Shōhei Ōoka,3.97,1052,95,119
2845502,Masculino,Hiroshi Sakurazaka,4.04,21901,2399,119
70312,Masculino,Akira Yoshimura,3.93,2663,329,119
646944,Femenino,Lady Nijō,3.93,453,42,119
10983,Masculino,Sei Shōnagon,4.2,5096,458,119
6447559,Masculino,Shinobu Amano,4.31,10869,277,119
1395455,Masculino,Shoko Conami,4.15,14849,280,119
4878191,Masculino,Hisamu Oto,4.35,19920,289,119
2927166,Femenino,Kaoru Tada,4.2,5076,239,119
5589647,Masculino,Marie Kondō,3.82,222605,25585,119
6587174,Femenino,Eva Natsumi,3.19,99,38,119
2767598,Femenino,Nana Haruta,3.88,7539,309,119
182648,Femenino,Kaori Ozaki (尾崎かおり),4.27,6779,361,119
250553,Femenino,Mick Takeuchi,4,7034,199,119
922699,Masculino,COM,3.99,830,60,119
7076636,Masculino,Shungiku Nakamura,4.1,45616,1073,119
8190287,Femenino,C.J. Michalski,3.69,895,59,119
288209,Femenino,Lily Hoshino,3.87,1727,138,119
1442964,Masculino,Rize Shinba,3.66,1523,128,119
830529,Femenino,Rieko Yoshihara,4.28,2369,88,119
1350949,Masculino,Shiho Sugiura,4.29,8153,231,119
6535253,Femenino,Otoh Saki,4.01,1219,75,119
4447332,Masculino,Kotetsuko Yamamoto,4.12,7157,364,119
4431550,Masculino,Kai Asou,4.16,1753,94,119
648243,Masculino,Maki Kazumi,3.79,1354,27,119
5843,Femenino,Sakurako Gokurakuin,3.98,4624,138,119
484018,Masculino,Yoko Matsushita,4.06,9571,173,119
6574446,Femenino,Kou Yoneda,4.24,8265,500,119
979378,Masculino,Yaya Sakuragi,4.1,7422,263,119
936802,Masculino,Mei Sakuraga,4.05,2778,74,119
4747506,Masculino,Yuu Moegi,4.25,4098,125,119
1442928,Femenino,Fusanosuke Inariya,4.11,2714,91,119
14529,Femenino,Yuki Shimizu,4.13,9680,292,119
8789,Femenino,Eiki Eiki,4.19,10809,520,119
13580456,Masculino,Tohru Kousaka,4,2820,79,119
10791,Masculino,Maki Murakami,3.94,18445,326,119
2974398,Femenino,Hisae Iwaoka,3.92,2956,331,119
14590452,Masculino,Kugane Maruyama,4.33,8316,299,119
5005598,Masculino,Naoshi Komi,4.11,15183,868,119
4105887,Masculino,Nakaba Suzuki,4.32,17558,727,119
5117017,Femenino,Yuyuko Takemiya,4.21,9285,393,119
1772201,Masculino,Shirow Miwa,4.15,5283,200,119
6450275,Masculino,Hitoshi Iwaaki,4.28,15780,684,119
2878245,Masculino,Lynn Okamoto,4.1,11179,312,119
14507930,Masculino,Adachitoka,4.42,41454,1576,119
700231,Masculino,Hideaki Sorachi,4.36,13311,416,119
7020317,Masculino,ONE,4.46,68339,2552,119
121814,Masculino,Allen Say,3.92,54013,3242,119
9987,Femenino,Philippa Gregory,3.9,1320251,68925,123
