id_editorial,editorial
383,Anthem Press
384,Anthony D'Offay Gallery
385,Anthony Publishing Company
386,Antique Trader Books
387,Anvil Books
388,Anvil Press
389,Anvil Press Poetry
390,APA Books
391,Aperture
392,Apex Venture Advisors
393,Aphrodisia
394,Apocryphile Press
395,Apollos
396,Appa the Association of Higher Education Facilities
397,Appalachian Mountain Club
398,Appalachian Mountain Club Books
399,Applause Books
400,Applause Theatre & Cinema Book Publishers
401,Apple
402,Apple Paperbacks (Scholastic)
403,Appledore Books
404,Applewood Books
405,Apress
406,Aqua Quest Publications
407,Arab Image Foundation
408,Arabesque
409,Arbordale Publishing
410,Arcade Pub
411,Arcade Publishing
412,Arcade Publishing (NYC)
413,Arcadia Books
414,Arcadia Publishing
415,Arcadia Publishing (SC)
416,Arcadia-Clark
417,Archaia
418,Archer Books
419,Archer Editions Press
420,Archie Comics
421,Archipelago Books
422,Archipelago Publishing (WA)
423,Architectural Press
424,Archon Books
425,Archway Paperbacks
426,ARCO
427,Arcturus
428,Ardis Publishers
429,Arena
430,Aret├®
431,Ariadne Press
432,Ariel Press
433,Arima Publishing
434,Aris & Phillips
435,Aris and Phillips
436,Arizona Center for Medieval and Renaissance Studies (ACMRS)
437,Arizona Highways Books
438,Arkana
439,Arkana Paperbacks
440,Arkana/Penguin
441,Arkano Books
442,Arkeoloji Ve Sanat Yayinlari
443,Arkham House Publishers
444,Arl├®a
445,Arlen House
446,Arlington House
447,Armada
448,Armchair Detective Library
449,Arms & Armour Press
450,Arno
451,Arno Press
452,Arnoldo Mondadori
453,Arnoldsche Verlagsanstalt GmbH
454,Arrow
455,Arrow (A Division of Random House Group)
456,Arrow Books
457,Arrow Books Ltd
458,Arrow Map
459,Arrow Publications
460,Arsenal Pulp Press
461,Art Direction Book Company
462,Art Enterprise
463,Art Gallery of York University/The Power Plant
464,Art Institute of Chicago
465,Art Media Resources
466,Arte Publico Press
467,Artech House Publishers
468,Arthritis Foundation
469,Arthur A. Levine
470,Arthur A. Levine Books
471,Arthur A. Levine Books / Scholastic Inc.
472,Article 19
473,Artisan
474,Artisan Publishers
475,Artistpro.com
476,Artist's and Photographers' Press Ltd
477,Arts Publications
478,Artspace Books
479,ASCD
480,Ascend Beyond Pub.
481,"Aschendorff, M├╝nster"
482,Ash Tree Publishing
483,Ashfield Press
484,Ashgate Publishing
485,Ashley Mark Publishing
486,Ashley Mark Publishing Company
487,"Ashleywilde, Inc."
488,Ash-Tree Press
489,ASK Productions
490,Aslan Publishing
491,ASM Books
492,ASM Press
493,Asogomi Publishing International
494,Aspasia Books
495,Aspatore Books
496,Aspect
497,Aspect Fantasy
498,Aspen Publishers
499,Aspen Systems Corporation
500,ASQ Quality Press
501,Associated
502,"Associated Music Publishers, Inc."
503,Association for Scottish Literary Studies
504,Association for Supervision & Curriculum Development
505,Association of Official Analytical Chemist
506,Association of Waldorf Schools of North America Publications (Answa)
507,Assouline
508,Assouline Publishing
509,As-Sunna Foundation of America
510,AST
511,Asterix
512,ASTM International
513,Astrolog Publishing House
514,Atak├Ây Marina Yay─▒nlar─▒
515,Atelos
516,Atelos Press
517,Athena University Press
518,Atheneum
519,Atheneum Books
520,Atheneum Books for Young Readers
521,Atheneum Books for Young Readers: Richard Jackson Books
522,Atheneum/Richard Jackson Books
523,Athlone Press
524,Atl├íntida
525,Atlantic
526,Atlantic Books
527,Atlantic Books (UK)
528,Atlantic Monthly Press
529,Atlantic Publishers
530,Atlantida
531,Atlas Books/HarperCollins Publishers
532,Atlas Press
533,Atom
534,Atom Books
535,AtRandom
536,Atria
537,Atria Books
538,Atria Books (NYC)
539,Atria Books/Beyond Words
540,Attic Press
541,Au Diable Vauvert
542,Auckland Anglican Women's Resource Centre
543,Auckland University Press
544,Audio Connoisseur
545,Audio Craft Press
546,Audio Literature
547,Audio Partners
548,Audio Realms
549,Audio Renaissance
550,Audiobooks
551,AudioCraft Press
552,AudioGO
553,AudioGO Ltd.
554,AudioText
555,Audioworks
556,Aufbau
557,Augsburg Books
558,Augsburg Fortress
559,Augsburg Fortress Pub
560,Augsburg Fortress Publishers
561,Augsburg Fortress Publishing
562,August House Publishers
563,Augustana College
564,Aunt Lute Books
565,Auricle Ink Publishers
566,Aurora Press
567,Aurum
568,Aurum Press
569,Aurum Press Ltd
570,Austin & Winfield Publishers
571,Austin Museum of Art
572,"Australian National University, Research School of Social Sciences"
573,Authentic
574,Authorhouse
575,Authorlink
576,Authors Choice Press
577,Authors Online
578,Autism Asperger Publishing Company
579,Autodesk Press
580,Autonomedia
581,Av2 by Weigl
582,AVA Publishing
583,Avalon Travel
584,Avalon Travel Publishing
585,Avatar Press
586,Ave Maria Press
587,Avenel Books
588,Aventine Press
589,Avery
590,Avery Color Studios
591,Avery Publishing Group
592,Aviation Supplies & Academics
593,Avisson Press Inc
594,Avon
595,Avon Books
596,Avon Books (AvoNova)
597,Avon Books (Mm)
598,Avon Books (NY)
599,Avon Books (P)
600,Avon Flare
601,Avon HarperCollins
602,Avon Red
603,AvonEos
604,Awa Press
605,Award Books
606,Award Publications Ltd
607,Awwe Medical Publishing
608,Axel Menges
609,Axial Publishing Co
610,Ayurvedic Press
611,Azul Editions
612,B & W Publishing
613,B Academic
614,B Books
615,B Fiction
616,B Jain Publishers Pvt Ltd
617,B&H Books
618,B&H Espanol
619,B&H Publishing Group
620,B. Dube
621,B. G. Teubner Gmbh
622,B. Grasset
623,B. Wahlstr├Âm
624,B.E.S.
625,B.E.S. Publishing
626,B.R. Gruner Publishing Company
627,B.T. Batsford
628,B3 Books
629,Babbage Press
630,Babel
631,Baby Tattoo Books
632,Bacchus Press
633,Back Bay
634,Back Bay Books
635,"Back Bay Books/Little, Brown and Company"
636,Back Home Industries
637,Back Stage Books
638,Backbeat Books
639,Backcountry Publishing
640,Backinprint.com
641,Backstage Books
642,Baen
643,Baen Books
644,Baker Academic
645,Baker Books
646,Baker College
647,Baker Publishing Group (MI)
648,Baldini & Castoldi
